"CodeClass","Target_name_display_name","Accession","P610_P614_001_Islets","P610_P614_002_Islets","P610_P614_003_Islets","P610_P614_004_Islets","P610_P614_005_Islets","P610_P614_006_Islets","P610_P614_007_Islets","P610_P614_008_Islets","P610_P614_009_Islets","P610_P614_010_Islets","P610_P614_011_Islets","P610_P614_012_Islets","P610_P614_013_Islets","P610_P614_014_Islets","P610_P614_015_Islets","P610_P614_016_Islets","P610_P614_017_Islets","P610_P614_018_Islets","P609_P611_001_Islets","P609_P611_002_Islets","P609_P611_003_Islets","P609_P611_004_Islets","P609_P611_005_Islets","P609_P611_006_Islets","P609_P611_007_Islets","P609_P611_008_Islets","P609_P611_009_Islets","P609_P611_010_Islets","P609_P611_011_Islets","P609_P611_012_Islets","P609_P611_013_Islets","P609_P611_014_Islets","P609_P611_015_Islets","P609_P611_016_Islets","P609_P611_017_Islets","P609_P611_018_Islets","P609_P611_019_Islets","P609_P611_020_Islets","P609_P611_021_Islets","P609_P611_022_Islets","P609_P611_023_Islets","P609_P611_024_Islets","P609_P611_025_Islets","P609_P611_026_Islets","P609_P611_027_Islets","P609_P611_028_Islets","P609_P611_029_Islets","P609_P611_030_Islets","P609_P611_031_Islets","P609_P611_032_Islets","P609_P611_033_Islets","P609_P611_034_Islets","P609_P611_035_Islets","P609_P611_036_Islets","P609_P611_037_Islets","P609_P611_038_Islets","P608_P612_001_Islets","P608_P612_002_Islets","P608_P612_003_Islets","P608_P612_004_Islets","P608_P612_005_Islets","P608_P612_006_Islets","P608_P612_007_Islets","P608_P612_008_Islets","P608_P612_009_Islets","P608_P612_010_Islets","P608_P612_011_Islets","P608_P612_012_Islets","P608_P612_013_Islets","P608_P612_014_Full_ROI","P608_P612_015_Islets","P608_P612_016_Islets","P608_P612_017_Islets","P608_P612_018_Full_ROI","P608_P612_019_Full_ROI","P608_P612_020_Full_ROI","P608_P612_021_Islets","P608_P612_022_Islets","P608_P612_023_Islets","P608_P612_024_Full_ROI","P608_P612_025_Islets","P608_P612_026_Islets","P608_P612_027_Islets","P608_P612_028_Islets","P608_P612_029_Islets","P608_P612_030_Islets","P608_P612_031_Islets","P608_P612_032_Islets","P608_P612_033_Islets"
"Control","S6","S6",9526.364218,3271.253729,2731.210406,7531.491143,5014.419655,4801.219943,13516.11037,10834.67787,11833.99282,8001.094033,10065.46834,2216.525639,2134.908765,1180.714801,3160.266355,5883.527912,1711.936231,1803.145948,10685.82931,11225.68741,7830.043005,6939.382178,2689.837711,7055.966319,9521.038208,6908.923258,5336.612812,5013.134109,7629.829743,2448.203983,6293.061647,3405.358359,2699.926449,5218.166118,2273.622273,3909.818301,1415.938871,10336.86126,3781.927048,7909.601588,6254.622731,7662.014316,6768.061911,9657.933023,12327.61382,7371.809562,4769.099097,3044.105807,5921.800496,4872.598695,3127.311366,1271.448902,2208.629787,1317.590193,2056.876208,1631.350971,3581.234281,5041.592061,1798.134425,2941.763956,3390.79641,2984.863053,5127.822601,1667.121542,936.3682084,1733.729178,978.8426426,700.8281642,1495.293149,1528.114303,1118.81521,2044.56481,1413.240265,6403.020955,3239.836638,2536.04814,3311.119068,3602.272655,4538.984022,3893.426241,6001.779802,2994.866034,3930.573423,3817.123922,2854.30913,1673.631136,4294.707693,3774.805441,2140.526847
"Endogenous","GZMB","GZMB",282.3009492,148.3102813,234.2279615,321.1684712,181.0408261,132.9678384,392.7665381,333.4424256,374.3556066,212.7485415,413.2231286,63.41543063,106.0289428,48.55531024,80.2649006,186.2938434,38.64606325,56.48270783,413.5990372,378.8771427,236.9258682,234.8834038,146.0362033,311.4758181,415.6415016,389.0894646,241.010797,144.0472037,238.7631732,101.6223423,356.1715104,136.1542062,168.7128207,189.4319391,79.91659929,136.1542062,38.47836262,449.9008553,97.67584358,776.9102589,328.3227565,454.6007397,242.9347868,313.8909869,342.754526,488.2748686,318.7015768,233.3136072,387.252482,181.5997664,108.2382714,39.7570035,47.51446759,64.96876181,29.09049036,96.96830121,241.7856265,230.8854548,126.8383614,64.41010542,63.41918072,81.2558253,159.8218997,35.72489523,31.02425112,59.22811578,30.0841223,21.6229629,39.48541052,61.10837343,41.36566817,101.5339128,55.46760049,177.6843473,60.79196023,50.65996686,46.97560563,72.76613421,101.3199337,69.08177299,250.5365634,79.21376636,81.97703728,86.58248881,67.23959237,35.92252195,119.4841663,99.05952249,58.21023486
"Endogenous","Fibronectin","Fibronectin",76.47461021,28.22277281,10.92494432,38.2373051,21.84988863,13.65618039,40.05812916,38.2373051,46.43101334,31.86442092,26.40194876,3.641648105,9.342041062,1,7.266031937,20.76009125,2.076009125,1.038004562,34.4986338,60.63396244,11.4995446,21.95367605,18.81743662,41.81652582,26.13532864,22.9990892,10.45413145,12.08550843,18.12826264,19.13538834,27.19239396,9.06413132,13.09263413,18.12826264,6.042754214,9.06413132,7.049879916,22.15676545,9.06413132,42.04814335,15.64582078,17.60154838,28.35805017,18.57941218,20.53513978,20.53513978,16.62368458,10.75650179,26.40232257,16.62368458,6.845046593,5.58572419,1.861908063,4.654770159,4.654770159,5.58572419,14.53206387,18.68408212,11.41805019,17.64607756,12.45605475,4.15201825,10.83163358,3.249490073,2.166326715,4.33265343,3.249490073,5.415816788,4.33265343,3.249490073,1.083163358,7.582143503,2.166326715,16.24745036,17.68281076,3.120496016,8.32132271,9.361488049,14.56231474,10.40165339,29.12462949,5.200826694,12.48198407,8.32132271,5.200826694,10.40165339,16.72661033,9.408718309,3.136239436
"Negative","HYB-NEG","HYB-NEG",4,1,2,1,2,1,3,3,4,1,2,1,1,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,5,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,1,4,1,1,2,1,1,1
"Endogenous","CD3e","CD3e",51.82464694,21.11374505,21.11374505,41.26777441,31.67061757,23.03317642,72.93839199,68.13981357,69.09952925,17.27488231,54.70379399,10.55687252,7.016228044,6.013909752,6.013909752,15.03477438,4.009273168,9.020864628,52.76344129,21.72612288,49.65970945,26.89900928,21.72612288,23.79527744,44.48682305,35.17562752,30.00274112,10.58973687,44.47689487,20.12050006,23.29742112,14.82563162,13.76665794,26.47434218,10.58973687,13.76665794,3.176921062,66.7153423,18.00255269,37.5437297,21.97681739,44.8693355,36.62802898,27.47102173,53.11064202,32.04952536,22.89251811,17.39831377,28.38672246,19.22971521,6.409905071,11.52801277,6.288006963,5.240005803,7.336008124,7.336008124,24.05563901,25.0579573,7.016228044,9.020864628,14.03245609,13.0301378,12.67396069,2.924760159,2.924760159,5.849520318,2.924760159,0.974920053,5.849520318,6.824440371,2.924760159,6.824440371,10.72412058,45.82124249,14.38855157,12.33304421,9.249783155,21.58282736,27.74934946,9.249783155,23.63833473,10.27753684,15.41630526,10.27753684,7.194275787,4.111014735,16.55323648,11.38035008,3.10373184
"Endogenous","CD8a","CD8a",40.35609837,67.57300192,61.94191843,32.84798704,45.98718186,25.33987572,62.88043234,49.74123752,96.6669333,24.4013618,42.2331262,5.631083493,13.03407915,2.369832573,5.924581432,13.03407915,3.554748859,2.369832573,34.57594957,33.55900987,24.40655263,27.45737171,65.08414036,70.16883883,17.28797478,25.42349233,14.2371557,26.25414968,27.39563445,18.2637563,21.6882106,13.69781722,14.83930199,15.98078676,9.131878149,19.40524107,3.424454306,26.25414968,3.424454306,30.31102674,21.78605047,19.8916113,22.73327006,20.83883089,14.20829379,26.5221484,16.10273296,5.683317514,27.46936799,30.31102674,6.6305371,3.795608331,2.846706248,3.795608331,0.948902083,1.897804166,42.65698631,54.50614917,36.73240488,8.294414004,17.77374429,14.21899544,10.94173404,7.294489361,2.73543351,5.470867021,3.647244681,0.91181117,0.91181117,0.91181117,2.73543351,3.647244681,3.647244681,18.2362234,6.878336624,5.895717106,4.913097589,17.68715132,22.60024891,19.65239035,22.60024891,12.77405373,13.75667325,17.68715132,10.80881469,7.860956142,15.2540954,18.30491448,4.067758772
"Endogenous","Ki-67","Ki-67",19.85405698,8.359602937,8.359602937,12.53940441,17.76415624,9.404553305,25.07880881,18.80910661,26.12375918,10.44950367,11.49445404,6.269702203,4.126541153,3.094905864,1.031635288,4.126541153,1,2.063270576,12.50554914,2.679760529,10.71904212,10.71904212,10.71904212,6.252774568,15.18530967,8.932535098,7.146028078,10.69951545,12.83941854,8.559612359,4.279806179,7.489660814,7.489660814,5.349757724,3.209854634,4.279806179,1,8.559612359,7.489660814,14.00761311,3.001631381,6.003262763,12.00652553,13.00706932,11.00598173,5.002718969,2.001087588,3.001631381,14.00761311,8.00435035,6.003262763,3.09588182,2.063921213,1.031960607,1,1,14.44289403,3.094905864,4.126541153,7.221447017,4.126541153,4.126541153,8.52332216,2.841107387,0.947035796,0.947035796,1.894071591,0.947035796,3.788143182,1,0.947035796,3.788143182,3.788143182,11.36442955,1,4.042432638,7.074257117,5.053040798,7.074257117,4.042432638,16.16973055,3.031824479,1.01060816,3.031824479,11.11668976,4.042432638,4.466267549,4.466267549,4.466267549
"Endogenous","PD-1","PD-1",7.986815667,6.988463708,4.991759792,0.998351958,12.97857546,1.996703917,5.99011175,6.988463708,7.986815667,1.996703917,7.986815667,2.995055875,1.006431069,1.006431069,4.025724277,1.006431069,1,5.032155347,8.48663536,6.600716391,7.543675876,3.771837938,15.08735175,9.429594845,5.657756907,2.828878453,2.828878453,2.216412074,6.649236222,6.649236222,4.432824148,2.216412074,2.216412074,3.324618111,4.432824148,3.324618111,1.108206037,11.08206037,4.432824148,9.759548639,4.337577173,3.25318288,3.25318288,1,2.168788586,2.168788586,1.084394293,1.084394293,3.25318288,4.337577173,1.084394293,0.952146026,3.808584106,1.904292053,1.904292053,2.856438079,2.012862139,2.012862139,3.019293208,2.012862139,3.019293208,2.012862139,1.963645701,0.98182285,1,1,1,0.98182285,0.98182285,1,2.945468551,2.945468551,1.963645701,5.890937102,2.874504411,0.958168137,0.958168137,0.958168137,2.874504411,1,4.790840685,0.958168137,0.958168137,1,1.916336274,0.958168137,3.771837938,1.885918969,1.885918969
"Endogenous","SMA","SMA",8461.500553,929.3353142,1104.80422,1675.403105,2195.310973,829.2530496,4300.937839,3257.222794,4105.972388,827.9532799,2169.31558,309.3451815,332.6732759,155.2475288,271.974994,875.4559893,82.87650032,63.03283123,1676.760155,5150.457815,1014.830947,1002.431697,1002.431697,1408.745591,828.8421928,1772.139004,970.0028885,202.6270073,519.9834618,1979.082962,1039.966924,259.9917309,1145.443996,788.3023299,266.4683932,782.7509051,70.31804821,1477.60425,238.7112689,3142.47616,701.4692357,660.8299601,2799.692705,1029.233828,565.4160086,748.2927489,898.4813762,401.0919811,2033.730706,921.4514015,207.6136907,179.9140665,73.09008952,163.0471228,131.1873402,147.1172315,1194.121969,668.8483758,331.5060013,1871.141268,1361.042245,987.514356,409.166274,138.4244111,103.8183083,212.7257494,172.0126873,59.03394002,70.2300321,222.9040149,86.51525693,960.8282652,296.1875267,651.4089934,662.5136038,352.5215039,96.39998229,354.4116996,509.4077495,521.6940218,1050.948827,320.3881764,319.4430786,323.22347,197.5254539,111.5215481,280.4138144,197.4342162,130.6690223
"Negative","Rt IgG2a","Rt IgG2a",25.6152489,12.80762445,9.85201881,11.82242257,18.71883574,8.866816929,8.866816929,17.73363386,22.65964326,6.896413167,21.67444138,4.926009405,2.869766795,1,1.913177863,9.565889316,0.956588932,0.956588932,15.22027064,17.24964006,17.24964006,13.19090122,12.17621651,17.24964006,9.132162384,16.23495535,8.117477674,5.609152292,11.21830458,4.206864219,8.413728438,4.206864219,11.21830458,7.011440365,9.81601651,8.413728438,2.804576146,16.82745688,5.609152292,13.19516299,5.497984579,14.29475991,18.69314757,8.796775326,15.39435682,14.29475991,8.796775326,5.497984579,10.99596916,12.09556607,3.298790747,2.653376753,3.537835671,1.768917835,3.537835671,1,10.52247825,6.696122521,1,4.782944658,8.609300384,3.826355726,2.689332773,1.792888515,0.896444258,2.689332773,1,0.896444258,2.689332773,0.896444258,1.792888515,2.689332773,4.482221288,9.860886834,0.9271645,4.635822502,0.9271645,8.344480503,12.0531385,6.490151503,8.344480503,5.562987002,6.490151503,3.708658002,9.271645004,4.635822502,8.117477674,8.117477674,2.029369419
